location,skill,frequency
United States,Jira,1
United States,Figma,1
United States,Adobe XD,1
United States,Agile development,1
United States,information structure,1
United States,hardware platforms,1
United States,Backend Development,1
United States,data engineering,1
"Wilmington, DE",Amazon Web Services,1
"Wilmington, DE",Python,1
New York City Metropolitan Area,computer programming,1
New York City Metropolitan Area,use computer telephony integration,1
"Cincinnati, OH",SAP FICO,1
"Cincinnati, OH",interpreting modes,1
"Los Angeles, CA",Python,1
"Los Angeles, CA",SQL,1
"Los Angeles, CA","data extraction, transformation and loading tools",1
"Charlotte, NC",CAM software,1
"Charlotte, NC",service-oriented modelling,1
"Durham, NC",database,1
"Durham, NC",Amazon DynamoDB,1
"Durham, NC",reverse engineering,1
"Durham, NC",Oracle Warehouse Builder,1
"Durham, NC",analyse pipeline database information,1
"Durham, NC",manage workflow processes,1
"Durham, NC",Amazon EC2,1
"Durham, NC",Amazon S3,1
"Durham, NC",digital identity management,1
"Durham, NC",CI/CD,1
"Durham, NC",Jenkins (tools for software configuration management),1
"Durham, NC",Full Stack Development,1
"Durham, NC",distributed computing,1
"Durham, NC",Software Development Life Cycle,1
"McLean, VA",Java (computer programming),1
"McLean, VA",Dask,1
"McLean, VA",Apache Spark,1
Atlanta Metropolitan Area,JavaScript,1
Atlanta Metropolitan Area,XML,1
Atlanta Metropolitan Area,XML Schema,1
Atlanta Metropolitan Area,data models,1
Atlanta Metropolitan Area,service-oriented modelling,1
Atlanta Metropolitan Area,database,1
"Clearwater, FL",perform failure analysis of production process,1
"Clearwater, FL",root cause analysis,1
"Clearwater, FL",data analytics,1
"Omaha, NE",reverse engineering,1
"Omaha, NE",Kanban,1
"Omaha, NE",Azure DevOps,1
"Omaha, NE",Jira,1
"Omaha, NE",R,1
"Omaha, NE",Cloud Native,1
"Omaha, NE",Amazon Web Services,1
"Omaha, NE",Google Cloud Platform,1
"Atlanta, GA",Power BI,1
"Atlanta, GA",SQL Server Integration Services,1
"Atlanta, GA",data models,1
"Atlanta, GA",mathematics,1
"Princeton, NJ",public relations,1
"Princeton, NJ",marketing analytics,1
"Princeton, NJ",ski,1
"Princeton, NJ",Microsoft Excel,1
"Princeton, NJ",use presentation software,1
"Princeton, NJ",graphic design,1
"Princeton, NJ",keywords in digital content,1
"Princeton, NJ",natural language processing,1
Charlotte Metro,interpreting modes,1
Charlotte Metro,radiotherapy,1
Charlotte Metro,Pentaho Data Integration,1
Charlotte Metro,use microsoft office,1
Charlotte Metro,Microsoft Excel,1
Charlotte Metro,IFS ERP,1
Charlotte Metro,SAP Data Services,1
Charlotte Metro,reverse engineering,1
"Durham, NC",radiotherapy,1
"Durham, NC",learning management systems,1
"Durham, NC",logic,1
United States,electrical machines,1
"Bethesda, MD",machine learning,1
"Bethesda, MD",Apache Airflow,1
"Bethesda, MD",Apache Spark,1
"Bethesda, MD",Kubernetes,1
"Bethesda, MD",Amazon SageMaker,1
"Bethesda, MD",Amazon Web Services,1
"Bethesda, MD",PyTorch,1
"Bethesda, MD",Python,1
"Bethesda, MD",crimping,1
"Bethesda, MD",CI/CD,1
"Bethesda, MD",business intelligence,1
"Bethesda, MD",Amazon Athena,1
"Atlanta, GA",Microsoft Excel,1
"Atlanta, GA",use microsoft office,1
"Atlanta, GA",Coupa,1
"San Diego, CA",deep learning,1
"San Diego, CA",machine learning,1
"San Diego, CA",computer vision,1
"San Diego, CA",Python,1
"San Diego, CA",PyTorch,1
"San Diego, CA",TensorFlow,1
"Illinois, United States",ICT project management methodologies,1
"Illinois, United States",Software Development Life Cycle,1
"Illinois, United States",Requirements Gathering,1
"Johnston, IA",electrical machines,1
"Johnston, IA",deep learning,1
"Johnston, IA",natural language processing,1
"Johnston, IA",Large Language Models,1
"Oshkosh, WI",Python,1
"Oshkosh, WI",Java (computer programming),1
"Oshkosh, WI",Scala,1
"Oshkosh, WI",SQL,1
"Oshkosh, WI",Apache Hadoop,1
"Oshkosh, WI",Apache Spark,1
"Oshkosh, WI",Apache Kafka,1
"Oshkosh, WI",data warehouse,1
"Oshkosh, WI","data extraction, transformation and loading tools",1
"Oshkosh, WI",types of tidal stream generators,1
"Oshkosh, WI",reverse engineering,1
Kansas City Metropolitan Area,sing,1
Kansas City Metropolitan Area,Kimball Methodology,1
Kansas City Metropolitan Area,information structure,1
Kansas City Metropolitan Area,data warehouse,1
New York City Metropolitan Area,Python,1
New York City Metropolitan Area,C#,1
New York City Metropolitan Area,Java (computer programming),1
New York City Metropolitan Area,SQL,1
New York City Metropolitan Area,"data extraction, transformation and loading tools",1
New York City Metropolitan Area,Data Warehouse,1
New York City Metropolitan Area,Git,1
New York City Metropolitan Area,Jira,1
New York City Metropolitan Area,use online tools to collaborate,1
New York City Metropolitan Area,Jenkins (tools for software configuration management),1
New York City Metropolitan Area,R,1
New York City Metropolitan Area,Snowflake,1
New York City Metropolitan Area,SQL Server Integration Services,1
New York City Metropolitan Area,SQL Server Reporting Services,1
"Kearney, MO",sing,1
"Kearney, MO",Data Manipulation,1
"Kearney, MO",manage standards for data exchange,1
"Kearney, MO",normalise data,1
"Kearney, MO",statistics,1
"Kearney, MO",SQL,1
"Kearney, MO",natural gas,1
"Kearney, MO",DAX,1
"Kearney, MO",Python,1
"Kearney, MO",R,1
"Kearney, MO",data visualisation software,1
"Seattle, WA",Salesforce,1
"Seattle, WA",MuleSoft,1
"Seattle, WA",Snowflake,1
"Seattle, WA",integrated circuits,1
"Seattle, WA",Amazon S3,1
"Seattle, WA",glue film reels,1
"Seattle, WA",Amazon Athena,1
"Denver, CO",financial analysis,1
"Denver, CO",business analysis,1
"Denver, CO",statistics,1
"Denver, CO",use specialised computer models for weather forecasting,1
"Anderson, SC",manage athletes,1
"Anderson, SC",JavaScript,1
"Anderson, SC",interpreting modes,1
"Anderson, SC",Configure Price Quote,1
"Anderson, SC",customer relationship management,1
"Anderson, SC",Microsoft Access,1
"Anderson, SC",Microsoft Excel,1
"Anderson, SC",design the physical outlook of games,1
"Anderson, SC",keywords in digital content,1
"New York, NY",international carriage of dangerous goods by road,1
"New York, NY",Bloomberg,1
"New York, NY",business intelligence,1
"Austin, TX",economics,1
"Austin, TX",accounting,1
"Austin, TX",e-procurement,1
"Austin, TX",negotiate supplier arrangements,1
"Austin, TX",integrated circuits,1
"Austin, TX",keywords in digital content,1
"Austin, TX",use presentation software,1
"Austin, TX",fit low vision aids,1
"Austin, TX",Microsoft SharePoint,1
"Austin, TX",Jira,1
"Austin, TX",maintain statutory books,1
United States,SAS,1
United States,use microsoft office,1
"Triangle, NC",integrated circuits,1
"Triangle, NC",operations management,1
"Triangle, NC",Configuration Management Database,1
"Triangle, NC",DevOps,1
"Triangle, NC",Infrastructure as a Service,1
"Triangle, NC",Microsoft Project,1
"Triangle, NC",fit low vision aids,1
"Triangle, NC",keywords in digital content,1
"Triangle, NC",ensure infrastructure accessibility,1
"Illinois, United States",data engineering,1
"Illinois, United States",plan migration to cloud,1
"Illinois, United States",semiconductors,1
"Illinois, United States",information architecture,1
"Illinois, United States",data models,1
"Illinois, United States",radiotherapy,1
"Illinois, United States",solar energy,1
"Illinois, United States",analyse pipeline database information,1
"Illinois, United States",process data,1
"Illinois, United States",Apache Hadoop,1
"Illinois, United States",archive scientific documentation,1
"Illinois, United States",Snowflake,1
"Illinois, United States",Databricks,1
"Illinois, United States",Google Cloud Platform,1
"Illinois, United States",Microsoft Azure,1
"Illinois, United States",Python,1
"Illinois, United States",Bash,1
"Illinois, United States",manage time,1
"Illinois, United States",Power BI,1
"Illinois, United States",Tableau,1
"Illinois, United States",integrated development environment software,1
"Illinois, United States",SQL,1
"Glenview, IL",solar energy,1
"Glenview, IL",computer programming,1
"Corpus Christi, TX",reverse engineering,1
"Corpus Christi, TX",search engines,1
"Orlando, FL",augmented reality,1
"Orlando, FL",computer programming,1
"Orlando, FL",SQL,1
"Orlando, FL",XML,1
"Orlando, FL",JavaScript,1
"Orlando, FL",SAS,1
"Orlando, FL",Microsoft Excel,1
"Plano, TX",Microsoft Excel,1
"Plano, TX",use presentation software,1
"Plano, TX",Tableau,1
"Plano, TX",Python,1
"Plano, TX",SQL,1
"Plano, TX",data mining,1
"Plano, TX",types of metal manufacturing processes,1
"Plano, TX",statistical modeling techniques,1
"Plano, TX",natural gas,1
"Plano, TX",solar energy,1
"Plano, TX",mathematics,1
"Florida, United States",SQL,1
"Florida, United States",database,1
"Florida, United States",data warehouse,1
"Florida, United States",Power BI,1
"Florida, United States",Microsoft Excel,1
"Florida, United States",DAX,1
"Florida, United States",Python,1
"Columbia, SC",ICT project management methodologies,1
"Columbia, SC",tools for ICT test automation,1
"Columbia, SC",Microsoft Office,1
"Columbia, SC",Microsoft SharePoint,1
"Columbia, SC",manage sales teams,1
"Irvine, CA",Microsoft SharePoint,1
"Irvine, CA",manage currency exchange risk mitigation techniques,1
"Irvine, CA",manage sales teams,1
"Irvine, CA",ML (computer programming),1
"Irvine, CA",computer programming,1
"Spokane, WA",Python,1
"Spokane, WA",R,1
"Spokane, WA",SQL,1
"Spokane, WA",machine learning,1
"Spokane, WA",statistics,1
"Spokane, WA",data visualisation software,1
"Arlington, Virginia, United States",Python,1
"Arlington, Virginia, United States",R,1
"Arlington, Virginia, United States",Visual Basic,1
"Arlington, Virginia, United States",SQL,1
"Arlington, Virginia, United States",Tableau,1
"Arlington, Virginia, United States",QlikView Expressor,1
"Arlington, Virginia, United States",Power BI,1
"Arlington, Virginia, United States",D3.js,1
"Arlington, Virginia, United States",SQL Server,1
"Arlington, Virginia, United States",Oracle SQL,1
"Arlington, Virginia, United States",database,1
"Arlington, Virginia, United States","data extraction, transformation and loading tools",1
"Arlington, Virginia, United States",manage standards for data exchange,1
"Arlington, Virginia, United States",natural gas,1
"Arlington, Virginia, United States",statistics,1
"Arlington, Virginia, United States",machine learning,1
"Arlington, Virginia, United States",natural language processing,1
"Arlington, Virginia, United States",lead process optimisation,1
"Arlington, Virginia, United States",computer simulation,1
"Washington, DC",web programming,1
"Washington, DC",computer programming,1
"Washington, DC",statistics,1
"Washington, DC",Python,1
"Washington, DC",Microsoft Excel,1
"Washington, DC",use presentation software,1
"Washington, DC",Visual Basic,1
"Washington, DC",Tableau,1
"Washington, DC",R,1
"Washington, DC",SQL,1
"Texas, United States",SQL,1
"Texas, United States",NoSQL,1
"Texas, United States",business processes,1
"Texas, United States",design process,1
"Texas, United States",collection management,1
"Texas, United States",project management,1
"Basking Ridge, NJ",Teradata Database,1
"Basking Ridge, NJ",scaffolding components,1
"Basking Ridge, NJ",learning management systems,1
"Basking Ridge, NJ",Adobe Experience Cloud,1
"St Paul, MN",develop with cloud services,1
"St Paul, MN",network management system tools,1
"St Paul, MN",use mathematical tools and equipment,1
"St Paul, MN",process applications,1
"St Paul, MN",communication,1
"Brighton, MI",fit low vision aids,1
"Brighton, MI",Figma,1
"Virginia Beach, VA",Python,1
"Virginia Beach, VA",SQL,1
"Virginia Beach, VA",ML (computer programming),1
"Virginia Beach, VA",machine learning,1
"Virginia Beach, VA",principles of artificial intelligence,1
"Virginia Beach, VA",statistical modeling techniques,1
"Virginia Beach, VA",data mining,1
"Virginia Beach, VA",algorithms,1
"Virginia Beach, VA",types of tidal stream generators,1
"Virginia Beach, VA",R,1
United States,Apache Hadoop,1
United States,Apache Kafka,1
United States,dbt,1
United States,Google Cloud Platform,1
United States,Web3,1
United States,blockchain,1
"Cedar Rapids, IA",mathematical modelling,1
"Cedar Rapids, IA",actuarial science,1
"Cedar Rapids, IA",statistics,1
"Cedar Rapids, IA",machine learning,1
"Cedar Rapids, IA",principles of artificial intelligence,1
"Cedar Rapids, IA",Derivatives Modeling,1
"Cedar Rapids, IA",liquidity management,1
"Auburn Hills, MI",data analytics,1
"Auburn Hills, MI",office software,1
"Austin, TX",SQL,1
"Austin, TX",Tableau,1
"Austin, TX",R,1
"Austin, TX",Power BI,1
"West Chester, PA",Python,1
"West Chester, PA",R,1
"West Chester, PA",SQL,1
"West Chester, PA",Tableau,1
"West Chester, PA",Power BI,1
"West Chester, PA",QlikView Expressor,1
"West Chester, PA",SPSS,1
"West Chester, PA",SAS,1
"West Chester, PA",Stata,1
"West Chester, PA",Microsoft Excel,1
"West Chester, PA",use spreadsheets software,1
"West Chester, PA",MATLAB,1
"Atlanta, GA",unified modelling language,1
"Atlanta, GA",Azure DevOps,1
"Atlanta, GA",software UI design patterns,1
"Atlanta, GA",XML,1
"Atlanta, GA",Microsoft Azure,1
"Atlanta, GA",Angular,1
"Atlanta, GA",network engineering,1
"Atlanta, GA",C#,1
"Atlanta, GA",TypeScript,1
"Atlanta, GA",NoSQL,1
"Atlanta, GA",JSON,1
"Atlanta, GA",JSONB,1
"Wisconsin, United States",Microsoft Office,1
"Wisconsin, United States",database,1
"McLean, VA",computer vision,1
"McLean, VA",electrical machines,1
"McLean, VA",deep learning,1
"McLean, VA",natural language processing,1
"McLean, VA",Recommendation Systems,1
"McLean, VA",Source (digital game creation systems),1
"McLean, VA",database,1
"McLean, VA",Amazon Web Services,1
"Tampa, FL",KNIME,1
"Tampa, FL",Visual Basic,1
"Tampa, FL",SQL,1
"Tampa, FL",Microsoft Excel,1
"Tampa, FL",Microsoft Access,1
"Tampa, FL",report facts,1
"San Francisco, CA",Apache Spark,1
"San Francisco, CA",HDFS,1
"San Francisco, CA",Apache Kafka,1
"San Francisco, CA",Apache Druid,1
"San Francisco, CA",MySQL,1
"San Francisco, CA",Apache Airflow,1
"San Francisco, CA",Amazon EC2,1
"San Francisco, CA",glue film reels,1
"San Francisco, CA",Amazon S3,1
"Cedar Knolls, NJ",Tableau,1
"Cedar Knolls, NJ",SQL,1
"Cedar Knolls, NJ",data mining,1
"Cedar Knolls, NJ",use computer telephony integration,1
"Cedar Knolls, NJ",statistical modeling techniques,1
"Chicago, IL",Oracle BI Publisher,1
"Georgia, United States",Azure Data Factory,1
"Georgia, United States",data warehouse,1
"Georgia, United States",integrated circuits,1
"Georgia, United States",semiconductors,1
"Georgia, United States",Apache Spark,1
"Georgia, United States",Python,1
"Georgia, United States",Scala,1
"Georgia, United States",SQL,1
"Georgia, United States",SQL Server,1
"Georgia, United States",Teradata Database,1
"Georgia, United States",Snowflake,1
"Georgia, United States",Azure Synapse,1
"Georgia, United States",Git,1
"Georgia, United States",GitHub,1
"Richmond, VA",Python,1
"Richmond, VA",teach secondary education class content,1
"Richmond, VA",Amazon Web Services,1
"Richmond, VA",H2O.ai,1
"Richmond, VA",Apache Spark,1
"Richmond, VA",machine learning,1
"Richmond, VA",Source (digital game creation systems),1
"Richmond, VA",cloud technologies,1
"Richmond, VA",solar energy,1
"Richmond, VA",debt classification,1
"Richmond, VA",Sentiment Analysis,1
"Richmond, VA",Time Series Analysis,1
"Richmond, VA",deep learning,1
"Richmond, VA",database,1
"Richmond, VA",SQL,1
"Richmond, VA",Scala,1
"Richmond, VA",R,1
"Princeton, NJ","data extraction, transformation and loading tools",1
"Princeton, NJ",building automation,1
"Princeton, NJ",manage workflow processes,1
"Princeton, NJ",integrated circuits,1
"Princeton, NJ",use object-oriented programming,1
"Princeton, NJ",Pandas,1
"Princeton, NJ",start up chocolate moulding line,1
"Princeton, NJ",HISAT2,1
"Princeton, NJ",DESeq2,1
"Princeton, NJ",Amazon Athena,1
"Princeton, NJ",glue film reels,1
"Princeton, NJ",Lakehouse,1
"Princeton, NJ",types of tidal stream generators,1
"Princeton, NJ",ICT project management methodologies,1
"Princeton, NJ",tools for software configuration management,1
"Princeton, NJ",project management,1
"Princeton, NJ",Jira,1
"Princeton, NJ",cloud technologies,1
"Princeton, NJ",computer programming,1
"Princeton, NJ",Amazon ECS,1
"Princeton, NJ",dump batches,1
"Princeton, NJ",Elastic Load Balancer,1
"Princeton, NJ",Apache Spark,1
"Newark, NJ",integrated circuits,1
"Newark, NJ",Microsoft Excel,1
"Newark, NJ",use presentation software,1
"Newark, NJ",quantitative analysis,1
"Tulsa, OK",Python,1
"Tulsa, OK",NumPy,1
"Tulsa, OK",SciPy,1
"Tulsa, OK",Matplotlib,1
"Tulsa, OK",Scikit-learn,1
"Tulsa, OK",computer programming,1
"Tulsa, OK",Kali Linux,1
"Tulsa, OK",PyTorch,1
"Tulsa, OK",TensorFlow,1
"Tulsa, OK",C++,1
"Tulsa, OK",Git,1
"Tulsa, OK",artificial neural networks,1
"Tulsa, OK",deep learning,1
"San Jose, CA",Python,1
"San Jose, CA",Java (computer programming),1
"San Jose, CA",C++,1
"San Jose, CA",TensorFlow,1
"San Jose, CA",PyTorch,1
"San Jose, CA",MXNet,1
"San Jose, CA",Apache Spark,1
"San Jose, CA",machine learning,1
"San Jose, CA",deep learning,1
"San Jose, CA",reverse engineering,1
"San Jose, CA",computer programming,1
Buffalo-Niagara Falls Area,SQL,1
Buffalo-Niagara Falls Area,SAS,1
Buffalo-Niagara Falls Area,Python,1
Buffalo-Niagara Falls Area,R,1
Buffalo-Niagara Falls Area,Tableau,1
Buffalo-Niagara Falls Area,Power BI,1
Buffalo-Niagara Falls Area,Apache Hadoop,1
Buffalo-Niagara Falls Area,data visualisation software,1
Buffalo-Niagara Falls Area,statistics,1
Buffalo-Niagara Falls Area,data mining,1
United States,Waterfall development,1
United States,use presentation software,1
United States,Microsoft Project,1
United States,fit low vision aids,1
United States,C++,1
United States,Java (computer programming),1
United States,Scikit-learn,1
United States,Pandas,1
United States,reverse engineering,1
United States,Snowflake,1
United States,design database scheme,1
United States,Microsoft SharePoint,1
"Vienna, VA",SQL,1
"Vienna, VA",R,1
"Vienna, VA",Python,1
"Vienna, VA",Apache Hadoop,1
"Vienna, VA",SAS,1
"Vienna, VA",SPSS,1
"Vienna, VA",Scala,1
"Vienna, VA",Amazon Web Services,1
"Vienna, VA",machine learning,1
"Vienna, VA",data mining,1
"Vienna, VA",natural gas,1
"Vienna, VA",computer programming,1
"Vienna, VA",perform fuel reconciliation,1
"Vienna, VA",arrange surgery operating site,1
"Vienna, VA",data models,1
"Vienna, VA",computer simulation,1
"Vienna, VA",mathematics,1
"Vienna, VA",GitHub,1
"Manchester, VT",search engines,1
"Tucker, GA",Microsoft Excel,1
"Tucker, GA",Visual Basic,1
"Tucker, GA",Power BI,1
"Tucker, GA",blockchain consensus mechanisms,1
"Tucker, GA",machine learning,1
"Newark, NJ",Microsoft Office,1
"Newark, NJ",ICT project management methodologies,1
"Newark, NJ",Jira,1
"Newark, NJ",use databases,1
"Newark, NJ",Power BI,1
"Newark, NJ",Tableau,1
"Brentwood, MO",Microsoft Office,1
"Brentwood, MO",statistics,1
"Brentwood, MO",public relations,1
"Brentwood, MO",project management,1
"Deerfield, IL",Salesforce,1
"Deerfield, IL",Power BI,1
"Deerfield, IL",ski,1
"Milwaukee, WI",make data-driven decisions,1
"Milwaukee, WI",demonstrate leadership in social service cases,1
"Milwaukee, WI",team building,1
"Milwaukee, WI",lead others,1
"Milwaukee, WI",social innovation,1
"Milwaukee, WI",types of metal manufacturing processes,1
"Milwaukee, WI",ski,1
"Milwaukee, WI",data analytics,1
"Milwaukee, WI",data visualisation software,1
"Milwaukee, WI",use computer telephony integration,1
"Milwaukee, WI",reverse engineering,1
"Milwaukee, WI",think creatively,1
"Milwaukee, WI",apply change management,1
"Bentonville, AR",deep learning,1
"Bentonville, AR",process data,1
"Bentonville, AR",perform dimensionality reduction,1
"Bentonville, AR",Model Deployment,1
"Bentonville, AR",ML (computer programming),1
"Bentonville, AR",perform cleaning duties,1
"Bentonville, AR",computer programming,1
"Bentonville, AR",debt classification,1
"Bentonville, AR",solve problems,1
"Bentonville, AR",ski,1
"Bentonville, AR",algorithms,1
"Bentonville, AR",natural gas,1
"Bentonville, AR",Model Management,1
"Bentonville, AR",statistics,1
"Bentonville, AR",sing,1
"Bentonville, AR",R,1
"Bentonville, AR",database,1
"Bentonville, AR",SQL,1
"Bentonville, AR",data engineering,1
"Bentonville, AR",Workflow Orchestration,1
"Bentonville, AR",learning management systems,1
"Bentonville, AR",reverse engineering,1
"Bentonville, AR",supervision of persons,1
"Irving, TX",business analysis,1
"Irving, TX",business process modelling,1
"Irving, TX",building information modelling,1
"Irving, TX",analyse blockchain use cases,1
"Irving, TX",User Stories,1
"Irving, TX",computer programming,1
"Irving, TX",design metal components,1
"Irving, TX",statistics,1
"Irving, TX",data models,1
"Irving, TX",Data Flow Diagram,1
"Irving, TX",Process Flowchart,1
"Irving, TX",interact with users to gather requirements,1
"Irving, TX",Requirements Engineering,1
"Irving, TX",Agile development,1
"Irving, TX",create prototype of user experience solutions,1
"Irving, TX",customer relationship management,1
"Irving, TX",computer technology,1
"Irving, TX",augmented reality,1
"Irving, TX",Software Delivery,1
"Newark, NJ",Agile development,1
"Newark, NJ",Test-Driven Development,1
"Newark, NJ",project management,1
"Newark, NJ",plan product management,1
"Newark, NJ",business analysis,1
"Newark, NJ",business processes,1
"Newark, NJ",make decisions,1
"Newark, NJ",think critically,1
"Newark, NJ",apply business acumen,1
"Newark, NJ",financial capability,1
"Newark, NJ",think analytically,1
"Newark, NJ",solve problems,1
"Newark, NJ",interact with users to gather requirements,1
"Newark, NJ",engage with stakeholders,1
"Newark, NJ",public relations,1
"Newark, NJ",write technical reports,1
"Newark, NJ",communication,1
"Newark, NJ",human-robot collaboration,1
"Newark, NJ",demonstrate leadership in social service cases,1
"Newark, NJ",assess your competences for artistic coaching,1
"Newark, NJ",supervision of persons,1
"North Carlton, MN",customer relationship management,1
"North Carlton, MN",business analysis,1
"North Carlton, MN",public relations,1
"North Carlton, MN",collection management,1
"North Carlton, MN",ICT project management methodologies,1
"North Carlton, MN",create prototype of user experience solutions,1
"North Carlton, MN",natural gas,1
"North Carlton, MN",DevOps,1
"North Carlton, MN",CI/CD,1
"Arizona, United States",statistics,1
"Arizona, United States",business analysis,1
"Arizona, United States",User Acceptance Testing,1
"Arizona, United States",identify process improvements,1
